current_a,current_ma,power_w,trend_direction,trend_percent_change,signal_quality,recommendation_type,severity,estimated_savings_kwh_per_day,energy_wasted_kwh_per_day
10.886,10886.0,2503.78,stable,-0.37,strong,high_load,high,21.0318,60.0907
4.9984,4998.4,1149.63,falling,-14.75,fair,high_load,high,9.6569,27.5911
8.9264,8926.4,2053.07,stable,17.44,strong,high_load,high,17.2458,49.2737
6.8942,6894.2,1585.67,stable,8.31,strong,high_load,high,13.3196,38.0561
10.4607,10460.7,2405.96,falling,15.45,strong,high_load,high,20.2101,57.743
11.4453,11445.3,2632.42,stable,23.68,fair,high_load,high,22.1123,63.1781
10.7257,10725.7,2466.91,stable,18.79,strong,high_load,high,20.722,59.2058
7.0634,7063.4,1624.58,falling,8.98,strong,high_load,high,13.6465,38.9899
9.9964,9996.4,2299.17,stable,13.63,strong,high_load,high,19.313,55.1801
10.2989,10298.9,2368.75,stable,6.98,strong,high_load,high,19.8975,56.85
4.5932,4593.2,1056.44,falling,-11.68,fair,high_load,high,8.8741,25.3546
11.1338,11133.8,2560.77,rising,-0.14,strong,high_load,high,21.5105,61.4585
3.7816,3781.6,869.77,falling,-14.83,fair,high_load,high,7.3061,20.8745
7.6581,7658.1,1761.36,stable,14.19,strong,high_load,high,14.7954,42.2726
4.0039,4003.9,920.9,falling,11.7,strong,high_load,high,7.7356,22.1016
6.5972,6597.2,1517.36,stable,24.77,strong,high_load,high,12.7458,36.4166
10.7742,10774.2,2478.07,falling,6.74,fair,high_load,high,20.8158,59.4737
9.4325,9432.5,2169.47,stable,5.15,strong,high_load,high,18.2235,52.0673
4.3086,4308.6,990.98,stable,15.73,fair,high_load,high,8.3242,23.7835
10.3476,10347.6,2379.95,rising,1.71,strong,high_load,high,19.9916,57.1188
3.6126,3612.6,830.9,rising,8.27,strong,high_load,high,6.9796,19.9416
6.9528,6952.8,1599.14,rising,20.4,strong,high_load,high,13.4328,38.3794
11.5542,11554.2,2657.47,rising,-10.97,fair,high_load,high,22.3227,63.7793
11.5157,11515.7,2648.61,falling,18.51,strong,high_load,high,22.2483,63.5666
9.8069,9806.9,2255.59,stable,6.4,strong,high_load,high,18.947,54.1342
6.4179,6417.9,1476.12,stable,17.85,strong,high_load,high,12.3994,35.4269
9.2371,9237.1,2124.53,falling,-10.96,strong,high_load,high,17.8461,50.9887
9.1929,9192.9,2114.37,rising,-13.46,strong,high_load,high,17.7607,50.7449
7.4674,7467.4,1717.5,rising,-10.91,strong,high_load,high,14.427,41.22
3.8531,3853.1,886.21,falling,-0.39,strong,high_load,high,7.4442,21.269
10.8044,10804.4,2485.01,falling,-8.96,strong,high_load,high,20.8741,59.6402
4.2171,4217.1,969.93,falling,-12.4,fair,high_load,high,8.1474,23.2783
10.429,10429.0,2398.67,stable,4.79,fair,high_load,high,20.1488,57.5681
6.0214,6021.4,1384.92,falling,22.51,strong,high_load,high,11.6333,33.2381
7.2804,7280.4,1674.49,rising,-13.73,strong,high_load,high,14.0657,40.1878
10.7601,10760.1,2474.82,falling,-14.55,strong,high_load,high,20.7885,59.3957
11.275,11275.0,2593.25,rising,8.71,strong,high_load,high,21.7833,62.238
7.3437,7343.7,1689.05,falling,-3.68,fair,high_load,high,14.188,40.5372
4.3215,4321.5,993.95,stable,17.39,strong,high_load,high,8.3492,23.8548
7.0944,7094.4,1631.71,rising,7.47,strong,high_load,high,13.7064,39.161
8.5908,8590.8,1975.88,falling,11.53,strong,high_load,high,16.5974,47.4211
4.0143,4014.3,923.29,stable,8.21,strong,high_load,high,7.7556,22.159
10.6204,10620.4,2442.69,falling,-0.18,strong,high_load,high,20.5186,58.6246
10.2478,10247.8,2356.99,stable,10.32,strong,high_load,high,19.7987,56.5678
5.46,5460.0,1255.8,rising,-6.0,fair,high_load,high,10.5487,30.1392
11.138,11138.0,2561.74,stable,3.9,strong,high_load,high,21.5186,61.4818
9.63,9630.0,2214.9,stable,7.24,strong,high_load,high,18.6052,53.1576
11.0923,11092.3,2551.23,rising,23.88,strong,high_load,high,21.4303,61.2295
8.0282,8028.2,1846.49,falling,7.07,strong,high_load,high,15.5105,44.3158
5.5975,5597.5,1287.42,rising,7.14,strong,high_load,high,10.8143,30.8981
