module,location,rcwl,pir,rssi,uptime,heap,temperature,humidity,recommendation_type,severity
MOD_PC_01,LIVING_ROOM,0,0,-61,7131,19130,31.6,51.3,turn_off_ac_vacant,high
MOD_ESP_01,M_ROOM,0,0,-62,82523,49582,30.6,64.8,turn_off_ac_vacant,high
MOD_PC_01,BEDROOM,0,0,-74,16356,18781,32.5,57.5,turn_off_ac_vacant,high
MOD_ESP_01,LAB,0,0,-67,82298,17828,30.5,66.6,turn_off_ac_vacant,high
MOD_PC_01,BEDROOM,0,0,-50,45847,44117,32.7,45.7,turn_off_ac_vacant,high
MOD_PC_01,LIVING_ROOM,0,0,-66,45097,22730,32.7,43.9,turn_off_ac_vacant,high
MOD_ESP_01,LIVING_ROOM,0,0,-69,54988,46219,29.2,62.8,turn_off_ac_vacant,medium
MOD_ESP_01,LIVING_ROOM,0,0,-73,12057,41110,34.4,66.4,turn_off_ac_vacant,high
MOD_PC_01,LIVING_ROOM,0,0,-74,57198,45322,33.0,48.3,turn_off_ac_vacant,high
MOD_ESP_02,LIVING_ROOM,0,0,-74,15990,43701,31.7,43.2,turn_off_ac_vacant,high
MOD_ESP_02,OFFICE,0,0,-53,69873,17058,33.8,42.8,turn_off_ac_vacant,high
MOD_ESP_02,OFFICE,0,0,-71,34528,11763,34.4,40.6,turn_off_ac_vacant,high
MOD_ROOM_01,OFFICE,0,0,-73,82497,22424,31.4,63.5,turn_off_ac_vacant,high
MOD_PC_01,KITCHEN,0,0,-70,25611,44637,29.9,49.0,turn_off_ac_vacant,medium
MOD_ROOM_01,BEDROOM,0,0,-69,17900,27795,30.5,66.7,turn_off_ac_vacant,high
MOD_PC_02,M_ROOM,0,0,-69,51775,33954,34.6,57.2,turn_off_ac_vacant,high
MOD_ESP_01,BEDROOM,0,0,-72,30130,29459,30.2,45.2,turn_off_ac_vacant,high
MOD_ESP_02,OFFICE,0,0,-55,12674,11223,34.0,55.3,turn_off_ac_vacant,high
MOD_ROOM_01,LAB,0,0,-55,34898,43085,32.7,43.5,turn_off_ac_vacant,high
MOD_PC_02,BEDROOM,0,0,-50,65595,47587,29.2,49.6,turn_off_ac_vacant,medium
MOD_ESP_01,OFFICE,0,0,-64,14970,46891,34.1,55.5,turn_off_ac_vacant,high
MOD_PC_02,KITCHEN,0,0,-51,77974,35491,29.8,58.1,turn_off_ac_vacant,medium
MOD_PC_01,LIVING_ROOM,0,0,-68,75896,25550,32.3,45.1,turn_off_ac_vacant,high
MOD_ESP_01,OFFICE,0,0,-52,26079,32360,30.4,44.8,turn_off_ac_vacant,high
MOD_PC_01,M_ROOM,0,0,-68,5623,19519,31.1,52.1,turn_off_ac_vacant,high
MOD_ROOM_01,KITCHEN,0,0,-62,58114,30319,30.9,41.8,turn_off_ac_vacant,high
MOD_PC_02,LAB,0,0,-70,21875,45078,30.8,64.1,turn_off_ac_vacant,high
MOD_ESP_01,LAB,0,0,-59,82220,34082,31.0,60.7,turn_off_ac_vacant,high
MOD_ROOM_01,M_ROOM,0,0,-59,66759,13456,34.0,52.4,turn_off_ac_vacant,high
MOD_ROOM_01,KITCHEN,0,0,-51,23878,41733,29.8,66.0,turn_off_ac_vacant,medium
MOD_PC_01,M_ROOM,0,0,-70,17746,48355,34.1,63.4,turn_off_ac_vacant,high
MOD_PC_01,OFFICE,0,0,-68,75824,37828,31.5,49.4,turn_off_ac_vacant,high
MOD_ESP_01,OFFICE,0,0,-57,43721,18105,29.4,61.6,turn_off_ac_vacant,medium
MOD_ESP_02,KITCHEN,0,0,-53,32866,34812,29.4,64.9,turn_off_ac_vacant,medium
MOD_PC_01,LAB,0,0,-58,10644,19388,33.8,65.5,turn_off_ac_vacant,high
MOD_PC_02,LIVING_ROOM,0,0,-67,80205,14391,33.7,40.5,turn_off_ac_vacant,high
MOD_PC_01,BEDROOM,0,0,-64,63262,29943,34.8,53.4,turn_off_ac_vacant,high
MOD_ESP_01,KITCHEN,0,0,-50,66545,16642,30.3,50.3,turn_off_ac_vacant,high
MOD_PC_02,LAB,0,0,-55,13698,39812,29.2,50.4,turn_off_ac_vacant,medium
MOD_ROOM_01,KITCHEN,0,0,-52,53671,22544,32.1,42.6,turn_off_ac_vacant,high
MOD_PC_02,M_ROOM,0,0,-60,73444,15641,30.0,60.6,turn_off_ac_vacant,medium
MOD_ESP_02,M_ROOM,0,0,-67,45132,42013,29.2,52.9,turn_off_ac_vacant,medium
MOD_ESP_01,LIVING_ROOM,0,0,-54,31688,22143,30.4,59.7,turn_off_ac_vacant,high
MOD_ESP_01,LIVING_ROOM,0,0,-61,29049,17836,28.9,64.6,turn_off_ac_vacant,medium
MOD_ESP_01,KITCHEN,0,0,-55,72256,28280,29.9,58.4,turn_off_ac_vacant,medium
MOD_ESP_01,BEDROOM,0,0,-56,31244,49824,34.6,60.2,turn_off_ac_vacant,high
MOD_PC_02,M_ROOM,0,0,-59,71608,47239,32.9,47.2,turn_off_ac_vacant,high
MOD_PC_01,KITCHEN,0,0,-61,62170,21226,31.5,65.7,turn_off_ac_vacant,high
MOD_ESP_01,BEDROOM,0,0,-60,83221,25681,31.9,48.3,turn_off_ac_vacant,high
MOD_ESP_01,LAB,0,0,-63,38247,14952,30.9,67.5,turn_off_ac_vacant,high
MOD_PC_01,OFFICE,0,0,-72,25152,46044,32.7,62.7,turn_off_ac_vacant,high
MOD_ROOM_01,BEDROOM,0,0,-50,57485,25111,32.2,45.4,turn_off_ac_vacant,high
MOD_ESP_01,KITCHEN,0,0,-67,18392,32095,30.6,42.4,turn_off_ac_vacant,high
MOD_PC_02,M_ROOM,0,0,-67,37875,22467,33.3,45.6,turn_off_ac_vacant,high
MOD_ROOM_01,LAB,0,0,-52,58023,37794,30.6,62.6,turn_off_ac_vacant,high
MOD_PC_02,BEDROOM,0,0,-50,11014,19142,29.7,45.7,turn_off_ac_vacant,medium
MOD_PC_01,LIVING_ROOM,0,0,-56,11667,48765,32.4,43.6,turn_off_ac_vacant,high
MOD_PC_02,BEDROOM,0,0,-57,4821,18948,32.2,58.0,turn_off_ac_vacant,high
MOD_ESP_02,OFFICE,0,0,-75,63351,12480,34.3,54.0,turn_off_ac_vacant,high
MOD_ESP_02,OFFICE,0,0,-74,35080,33770,31.6,62.2,turn_off_ac_vacant,high
MOD_ESP_01,LAB,0,0,-54,62225,24737,34.3,61.2,turn_off_ac_vacant,high
MOD_ESP_01,LIVING_ROOM,0,0,-61,16397,46125,30.5,63.1,turn_off_ac_vacant,high
MOD_ESP_01,KITCHEN,0,0,-55,54235,31518,32.8,46.4,turn_off_ac_vacant,high
MOD_ESP_02,BEDROOM,0,0,-65,9737,37971,31.3,68.3,turn_off_ac_vacant,high
MOD_PC_02,KITCHEN,0,0,-59,25256,31911,29.6,41.1,turn_off_ac_vacant,medium
MOD_ESP_02,LAB,0,0,-71,31641,30754,30.1,52.0,turn_off_ac_vacant,high
MOD_PC_01,OFFICE,0,0,-64,50806,18262,34.8,50.3,turn_off_ac_vacant,high
MOD_ROOM_01,M_ROOM,0,0,-60,40617,43339,29.8,52.9,turn_off_ac_vacant,medium
MOD_ESP_02,KITCHEN,0,0,-51,71391,16309,33.3,42.8,turn_off_ac_vacant,high
MOD_PC_01,KITCHEN,0,0,-61,19359,39416,31.9,61.8,turn_off_ac_vacant,high
MOD_PC_02,KITCHEN,0,0,-69,80203,31790,33.1,61.7,turn_off_ac_vacant,high
MOD_PC_02,LIVING_ROOM,0,0,-66,57644,49416,28.9,47.7,turn_off_ac_vacant,medium
MOD_PC_02,M_ROOM,0,0,-72,8984,24026,30.7,45.5,turn_off_ac_vacant,high
MOD_ROOM_01,KITCHEN,0,0,-63,21671,45530,32.9,54.8,turn_off_ac_vacant,high
MOD_ROOM_01,LIVING_ROOM,0,0,-51,82270,13649,34.1,56.0,turn_off_ac_vacant,high
MOD_PC_02,M_ROOM,0,0,-68,69998,30289,32.8,52.1,turn_off_ac_vacant,high
MOD_PC_02,LAB,0,0,-70,30290,23444,33.9,41.5,turn_off_ac_vacant,high
MOD_ROOM_01,KITCHEN,0,0,-74,54699,28565,29.0,43.1,turn_off_ac_vacant,medium
